,Question,Answer,Documents
0,국가에서 지원하는 노인 예방접종 혜택을 받을 수 있는 연령은 몇 살부터인가요?,국가에서 지원하는 노인 예방접종 혜택을 받을 수 있는 연령은 65세부터입니다.,어르신 국가예방접종 지원 사업
1,"나의 할머니가 1957년생인데, 국가 예방접종 지원을 받을 수 있나요?","네, 할머니께서는 1957년생이시므로 국가 예방접종 지원 사업의 대상이십니다.",어르신 국가예방접종 지원 사업
2,1958년 1월 1일 생인 분도 올해 안에 국가예방접종 지원을 받을 수 있나요?,"아니요, 1958년 1월 1일 생인 분은 제도 상 65세에 해당하지 않으므로 지원 대상에서 제외됩니다.",어르신 국가예방접종 지원 사업
3,"내년에 여든 살이 되는 조부님이 있는데, 국가예방접종 지원을 받을 수 있을까요?","네, 내년에 여든 살이 되신다면 이미 국가예방접종 지원 사업의 대상 연령에 해당하시므로 지원을 받으실 수 있습니다.",어르신 국가예방접종 지원 사업
4,올해로 65세가 되시는 어르신들이 받을 수 있는 예방접종 지원은 어떤 내용인가요?,올해로 65세가 되시는 어르신들이 받을 수 있는 예방접종 지원은 특정 질병의 예방을 위한 백신 접종 비용을 국가에서 지원하는 내용입니다.,어르신 국가예방접종 지원 사업
5,예방접종 지원 대상이 되려면 주민등록상 생년월일이 어떻게 되어야 하나요?,예방접종 지원 대상이 되려면 주민등록상 생년월일이 1958년 12월 31일 이전 출생자여야 합니다.,어르신 국가예방접종 지원 사업
6,1958년 12월 31일 생인 어르신도 국가 예방접종의 혜택을 누릴 수 있나요?,"네, 1958년 12월 31일 생인 어르신도 국가 예방접종 지원 사업의 혜택을 누릴 수 있습니다.",어르신 국가예방접종 지원 사업
7,올해로 65세를 맞은 어르신들이 받을 수 있는 백신 지원은 언제부터 시작되나요?,올해로 65세를 맞은 어르신들의 백신 지원은 그 해의 1월 1일부터 시작됩니다.,어르신 국가예방접종 지원 사업
8,어르신 국가예방접종 지원 사업의 대상이 아닌 분들도 자비로 접종을 받을 수 있나요?,"네, 대상이 아닌 분들도 자비로 예방접종을 받을 수 있습니다.",어르신 국가예방접종 지원 사업
9," 저희 어머니가 1959년생인데, 언제쯤 국가 예방접종 지원을 받을 수 있나요?"," 귀하의 어머니께서는 1959년생이시므로, 65세가 되시는 해의 1월 1일부터 국가 예방접종 지원을 받으실 수 있습니다.",어르신 국가예방접종 지원 사업
10,60세가 넘었는데 폐렴구균 예방접종을 받으려고 합니다. 어떤 백신을 맞게 되나요?,폐렴구균 예방을 위해 23가 다당백신(PPSV23)을 1회 지원받으실 수 있습니다.,어르신 국가예방접종 지원 사업
11,"인플루엔자 백신을 매년 받을 수 있다고 들었는데, 몇 가 백신인가요?",인플루엔자 예방을 위하여 매년 4가 백신(IIV)을 지원받으실 수 있습니다.,어르신 국가예방접종 지원 사업
12,인플루엔자 예방접종 시기에 대하여 알고 싶습니다. 언제 접종을 받아야 하나요?,"인플루엔자 예방접종은 계절에 맞추어서 진행되는 계절사업으로, 접종 시기가 정해져 있습니다. 예방접종을 원하시면 해당 계절에 맞춰서 병원을 방문하셔야 합니다.",어르신 국가예방접종 지원 사업
13,폐렴구균 백신과 인플루엔자 백신을 동시에 맞을 수 있나요?,"예, 일반적으로 폐렴구균 백신과 인플루엔자 백신은 동시접종이 가능합니다.",어르신 국가예방접종 지원 사업
14,동시접종을 하지 못했을 때 폐렴구균 백신과 인플루엔자 백신 사이에 특별히 지켜야 할 접종 간격이 있나요?,"특별한 접종 간격을 지킬 필요는 없지만, 개인의 건강 상태에 따라 의사가 접종 일정을 조정할 수 있습니다.",어르신 국가예방접종 지원 사업
15,어르신을 위한 예방접종 지원 사업에 대해 자세히 알려주세요.,"해당 사업에서는 폐렴구균 백신은 1회, 인플루엔자 백신은 매년 1회 지원받을 수 있으며 접종시기와 일정은 건강 상태를 고려하여 조정할 수 있습니다.",어르신 국가예방접종 지원 사업
16,인플루엔자 접종 계절에 병원을 가보지 못했어요. 당장 예방접종을 받아야 하나요?,"인플루엔자 예방접종은 정해진 계절에 맞춰서 실시되므로, 놓친 경우 다음 접종 시기까지 기다리셔야 합니다.",어르신 국가예방접종 지원 사업
17,제가 받을 수 있는 국가 무료 예방접종에는 어떤 것들이 있나요?,어르신 국가예방접종 지원 사업 하에 폐렴구균 예방을 위한 PPSV23 백신과 인플루엔자 예방을 위한 매년 4가 백신을 무료로 받으실 수 있습니다.,어르신 국가예방접종 지원 사업
18,건강 상태에 따라 예방접종에 차이가 있나요?,"예, 의사의 예진을 거쳐서 피접종자의 건강 상태를 고려하여 개별적으로 접종 일정을 조정할 수 있습니다.",어르신 국가예방접종 지원 사업
19, 만약 독감 시즌이 아닌데 독감 예방주사를 맞고 싶어요. 가능한가요?," 독감 예방주사는 인플루엔자 접종 계절사업으로 시행되므로, 계절이 아닌 경우 일반적으로 접종을 받기 어렵습니다. 다만, 개별 상황에 따라 예외가 있을 수 있으니 의료기관에 문의하시는 것이 좋습니다.",어르신 국가예방접종 지원 사업
20,올해 어르신 대상의 무료 예방접종을 받으려면 어디에 가야 하나요?,전국 지정의료기관 및 보건소에서 어르신 국가예방접종을 받을 수 있습니다.,어르신 국가예방접종 지원 사업
21,신분증 없이도 국가예방접종을 받을 수 있나요?,"아니요, 신분증을 지참해야 예방접종을 받으실 수 있습니다.",어르신 국가예방접종 지원 사업
22,어르신 국가예방접종을 위해 꼭 확인해야 하는 웹사이트 주소는 무엇인가요?,예방접종도우미 누리집 웹사이트 주소는 https://nip.kdca.go.kr 입니다.,어르신 국가예방접종 지원 사업
23,지정의료기관에서 접종 가능 여부를 확인하려면 어떻게 해야 하나요?,예방접종도우미 누리집에서 확인하거나 방문 전 전화로 접종 가능 여부를 확인해야 합니다.,어르신 국가예방접종 지원 사업
24,예방접종도우미 누리집에서 어떤 정보를 얻을 수 있나요?,지정의료기관 확인뿐만 아니라 예방접종 관련 다양한 정보를 제공받을 수 있습니다.,어르신 국가예방접종 지원 사업
25,모든 보건소에서 국가예방접종을 지원하나요?,"대부분의 보건소에서 지원하지만, 접종 가능 여부는 별도로 확인해야 합니다.",어르신 국가예방접종 지원 사업
26,보건소 또는 지정의료기관 방문 전에 해야 할 중요한 절차가 있나요?,접종가능 여부를 사전에 반드시 확인해야 합니다.,어르신 국가예방접종 지원 사업
27,지정의료기관은 어떤 기준으로 선택되나요?,"해당 내용은 예방접종도우미 누리집에서 확인 가능하며, 지정기관은 국가가 지정한 기준에 따라 선정됩니다.",어르신 국가예방접종 지원 사업
28,예방접종을 받기 위해 방문하는 의료기관에 준비해야 할 것은 무엇인가요?,신분증과 사전에 접종가능 여부를 확인한 내용을 준비해야 합니다.,어르신 국가예방접종 지원 사업
29, 예방접종도우미 누리집을 통해 예약이 필요한가요?," 예방접종도우미 누리집을 통한 예약 여부는 기관에 따라 다를 수 있으므로, 방문 전 확인하는 것이 좋습니다.",어르신 국가예방접종 지원 사업
30,어르신들이 받을 수 있는 국가예방접종 지원은 어떤 곳에서 자세히 안내받을 수 있나요?,"어르신 국가예방접종 지원 사업에 대한 자세한 정보는 질병관리청 콜센터(1339)와 예방접종관리과(043-719-8398, 043-719-8399)로 문의하실 수 있습니다.",어르신 국가예방접종 지원 사업
31,만약 나이 드신 부모님께서 예방접종 지원이 필요하면 어느 기관에 연락해야 하나요?,"귀하의 부모님께서 예방접종 지원을 받으실 때 질병관리청 콜센터(1339) 또는 예방접종관리과(043-719-8398, 043-719-8399)로 연락하셔야 합니다.",어르신 국가예방접종 지원 사업
32,국가에서 어르신들에게 제공하는 예방접종 지원이 궁금합니다. 어디로 문의해야 할까요?,"국가에서 제공하는 어르신 예방접종 지원에 대해 알아보시려면 질병관리청 콜센터(1339) 혹은 예방접종관리과(043-719-8398, 043-719-8399)로 문의하실 수 있습니다.",어르신 국가예방접종 지원 사업
33,저희 할머니께서 예방접종을 지원받으실 수 있는지 확인하고 싶어요. 어디서 문의할 수 있죠?,"할머니의 예방접종 지원 가능 여부는 질병관리청 콜센터(1339) 또는 예방접종관리과(043-719-8398, 043-719-8399)로 문의해 주시면 됩니다.",어르신 국가예방접종 지원 사업
34,노인예방접종에 대한 정보를 어디에서 받을 수 있는지 알려주세요.,"노인 예방접종에 대한 정보는 질병관리청 콜센터(1339) 와 질병관리청 예방접종관리과(043-719-8398, 043-719-8399)에 문의하시면 자세히 안내받을 수 있습니다.",어르신 국가예방접종 지원 사업
35,국가에서 지원하는 노인 예방접종 프로그램에 대해 알고 싶습니다. 어디로 연락해야 하죠?,"노인 예방접종 프로그램에 대한 상세한 내용은 질병관리청 콜센터(1339)나 예방접종관리과(043-719-8398, 043-719-8399)에 문의하세요.",어르신 국가예방접종 지원 사업
36,저희 동네에서 어르신들을 위한 예방접종을 지원해주는 기관은 어디인가요? ,"지역사회 어르신들을 위한 예방접종 지원 기관은 질병관리청 콜센터(1339) 또는 예방접종관리과(043-719-8398, 043-719-8399)에서 안내받으실 수 있습니다.",어르신 국가예방접종 지원 사업
37,할아버지께서 국가지원 예방접종 혜택을 받으실 자격이 되는지 어떻게 알 수 있나요?,"할아버지의 국가지원 예방접종 자격 여부는 질병관리청 콜센터(1339) 혹은 예방접종관리과에(043-719-8398, 043-719-8399) 문의해 확인하실 수 있습니다.",어르신 국가예방접종 지원 사업
38,국가에서 지원하는 65세 이상 예방접종 사업에 대해 어떻게 알아볼 수 있나요?,"65세 이상 어르신을 위한 국가 지원 예방접종 사업에 대한 정보는 질병관리청 콜센터(1339)나 예방접종관리과(043-719-8398, 043-719-8399)를 통해 문의 가능합니다.",어르신 국가예방접종 지원 사업
39," 노년층 예방접종 지원 계획에 대해 알고 싶은데, 정부 기관 중 어디에 연락하면 될까요?"," 노년층 예방접종 지원에 관한 계획은 질병관리청 콜센터(1339)나 예방접종관리과(043-719-8398, 043-719-8399)에 문의하시면 됩니다.",어르신 국가예방접종 지원 사업
