Question,Answer,Documents
LPG 사용 가정의 고무호스를 교체하려면 어떤 지원을 받을 수 있나요?,LPG용기 사용가구 시설개선 사업을 통해 LPG 고무호스를 금속배관으로 교체하는 데 필요한 지원을 받으실 수 있습니다.,LPG용기 사용가구 시설개선
LPG용기를 사용하는데 현재 고무호스로 연결되어 있어요. 어떤 안전한 개선방법이 있을까요?,LPG용기 사용가구 시설개선 제도를 활용하시면 기존의 LPG 고무호스를 안전한 금속배관으로 교체할 수 있는 지원을 받으실 수 있습니다.,LPG용기 사용가구 시설개선
"우리 집은 LPG 고무호스를 사용중인데, 이것을 개선할 수 있는 정부 지원이 있나요?","네, LPG용기 사용가구 시설개선 제도를 통해 정부 지원을 받아 고무호스를 더 안전한 금속배관으로 바꾸실 수 있습니다.",LPG용기 사용가구 시설개선
프로판 가스를 쓰고 있는 집에 대한 보조금 지원이 있는지 알고 싶어요. 어떤 항목을 개선해주나요?,"LPG용기 사용가구 시설개선 지원제도를 통해 LPG가스 고무호스를 금속배관으로 교체하고, 안전장치인 퓨즈콕을 설치하는 비용을 지원받으실 수 있습니다. 이러한 비용 중 약 20만 원이 지원되며, 나머지 5만 원은 자부담입니다.",LPG용기 사용가구 시설개선
"가스라인을 좀 더 안전하게 개조하고 싶은데, 정부 지원이 가능한가요?","네, 가정에서 사용하시는 LPG 가스 시설에 금속배관 교체와 퓨즈콕 설치를 위한 시공비 중 약 20만 원을 정부에서 지원해드리고 있습니다. 사용자는 5만 원의 자부담만 부담하시면 되어 안전한 가스 사용을 위한 개선이 가능합니다.",LPG용기 사용가구 시설개선
내 집의 LPG 가스 호스를 금속으로 교체하고 싶어요. 이 비용은 어느 정도 되나요?,"총 시공비용은 25만 원 정도이며, 이 중 20만 원은 ‘LPG용기 사용가구 시설개선’ 제도를 통해 지원받을 수 있고, 5만 원은 개인이 부담하셔야 합니다.",LPG용기 사용가구 시설개선
가스 안전장치를 설치하고자 하는데 정부 지원은 어떻게 받을 수 있나요?,"정부 지원을 받아 안전장치 설치를 원하신다면 ‘LPG용기 사용가구 시설개선’ 제도 이용이 가능합니다. 이를 통해 시공비의 대부분인 20만 원을 지원받을 수 있으며, 나머지 5만 원은 직접 부담하시면 됩니다.",LPG용기 사용가구 시설개선
LPG 가스 관련 안전 시설 설치 비용은 어떻게 되나요? 정부 지원을 받을 수 있나요?,"LPG 가스 안전 시설 설치는 약 25만 원의 비용이 들며, ‘LPG용기 사용가구 시설개선’ 제도를 통해 20만 원을 지원받을 수 있습니다. 잔액인 5만 원은 사용자가 부담해야 합니다.",LPG용기 사용가구 시설개선
가스 배관 작업에 필요한 비용을 얼마나 지원받을 수 있는지 궁금합니다.,‘LPG용기 사용가구 시설개선’ 제도를 통해서 가스 배관 작업에 대하여 총비용인 25만 원 중 20만 원까지 지원받으실 수 있습니다. 작업에 필요한 나머지 금액인 5만 원은 개인이 부담하게 됩니다.,LPG용기 사용가구 시설개선
가스 사용 가정의 시설 개선을 위해 어디에 방문 신청해야 하나요?,LPG용기 사용가구 시설개선 신청은 거주지의 시군구 가스담당부서나 읍면동 주민센터(행정복지센터)에서 직접 방문하여 하실 수 있습니다.,LPG용기 사용가구 시설개선
LPG용기를 사용하는 집의 설비를 개선하려면 어떻게 해야 하나요?,설비 개선을 원하는 LPG용기 사용 가구는 해당 시군구의 가스담당부서나 읍면동 주민센터(행정복지센터)로 방문 신청하시면 됩니다.,LPG용기 사용가구 시설개선
주택의 LPG 가스 설비를 보강하고 싶어요. 신청 절차를 알려주세요.,"LPG 가스 설비 보강을 원하시면, 가까운 시군구 가스담당부서 또는 읍면동 주민센터(행정복지센터)에 직접 방문하여 신청하실 수 있습니다.",LPG용기 사용가구 시설개선
LPG용기를 쓰는 우리 집을 위한 시설 개선 신청은 어디서 할 수 있을까요?,귀하의 가정을 위한 LPG용기 시설 개선 신청은 가장 가까운 읍면동 주민센터(행정복지센터)나 시군구 가스담당부서를 방문하여 하실 수 있습니다.,LPG용기 사용가구 시설개선
내 가정의 LPG가스 시설을 업그레이드하고자 합니다. 신청은 어디서 해야 하죠?,가정의 LPG가스 시설 업그레이드 신청은 지역 시군구 가스담당부서나 해당 읍면동 주민센터(행정복지센터)에서 방문하여 하실 수 있습니다.,LPG용기 사용가구 시설개선
도시가스가 아닌 LPG용기를 사용하는 가구의 가스 설비 개선을 위해서는 어느 기관에 연락해야 하나요?,LPG용기를 사용하는 가구의 가스 설비 개선을 위해서는 거주하시는 지역의 시군구 가스담당부서나 읍면동 주민센터(행정복지센터)에 방문하여 신청해야 합니다.,LPG용기 사용가구 시설개선
LPG용기를 사용하고 있는데 시설을 개선하고 싶어요. 어디에 연락해야 할까요?,"LPG용기 사용 가정의 시설개선을 위해서는 거주하시는 지역의 시군구 가스 담당 부서에 문의하시거나 읍면동 주민센터(행정복지센터), 한국가스안전공사에 연락하시면 안내를 받을 수 있습니다.",LPG용기 사용가구 시설개선
주민센터나 한국가스안전공사를 통해서 가스용기 관련 도움을 받을 수 있나요?,"네, LPG용기 사용가구 시설개선 문의는 귀하가 거주하는 지역의 주민센터(행정복지센터)나 한국가스안전공사를 통해 지원을 받을 수 있습니다. 한국가스안전공사의 전화번호는 1544-4500입니다.",LPG용기 사용가구 시설개선
