Question,Answer,Documents
개인회생 지원을 받으려면 소득 기준이 어떻게 되나요?,"개인회생 지원의 소득 기준은 중위소득 125% 이하로 설정되어 있습니다. 예를 들어 4인 가구 기준으로 675만 1,205원 이하의 소득을 가진 경우 지원을 받을 수 있습니다.",개인회생 및 파산 종합지원센터
개인회생 및 파산 종합지원센터의 서비스는 외국인에게도 제공되나요?,"네, 국내 거주 외국인도 과도한 부채로 인해 어려움을 겪고 있다면 이 센터의 서비스를 이용할 수 있습니다.",개인회생 및 파산 종합지원센터
"부채 문제로 고민하고 있는데, 어떤 조건을 만족해야 개인회생 및 파산 종합지원센터의 도움을 받을 수 있나요?","조건으로는 소득이 중위소득 125% 이하인 국민이나, 국내에 거주하는 외국인이면서 과도한 부채를 지고 있어야 서비스를 이용할 수 있습니다.",개인회생 및 파산 종합지원센터
금전적 어려움을 겪고 있는 이는 개인회생 및 파산 종합지원센터 이용이 가능한가요?,"네, 중위소득 125% 이하의 소득을 가지고 있으며 심각한 부채 문제를 겪고 있다면 서비스 이용이 가능합니다.",개인회생 및 파산 종합지원센터
회생센터 제도를 이용하기 위한 소득 한도는 어떻게 알 수 있나요?,"소득 한도는 중위소득의 125%를 기준으로 하며, 구체적인 금액은 가구원 수에 따라 다르게 적용되므로, 4인 기준 금액인 675만 1,205원을 예로 들 수 있습니다. 자세한 정보는 관련 기관에 문의하시면 됩니다.",개인회생 및 파산 종합지원센터
내가 개인회생 및 파산 종합지원센터의 지원 대상이 될 수 있는지 어떻게 알 수 있나요?,"본인의 소득이 중위소득 125% 이하인지와 과도한 부채를 갖고 있는지 확인해보시면 됩니다. 4인 가구의 경우, 월 소득이 675만 1,205원 이하이면 해당됩니다.",개인회생 및 파산 종합지원센터
개인회생이 필요할 때 어떤 지원을 받을 수 있나요?,"개인회생 절차에 대하여 전문적인 법률 상담을 무료로 제공받으실 수 있으며, 절차 진행 시 관련 서류 작성과 신청 도움도 받으실 수 있습니다.",개인회생 및 파산 종합지원센터
파산 신청을 할 때 비용이 드나요?,"파산 종합지원센터를 통해 파산 신청 시 필요한 법률서비스를 무료로 지원받으실 수 있어, 법률 대리인 선임에 따른 비용은 절약하실 수 있습니다.",개인회생 및 파산 종합지원센터
면책 절차는 어떻게 진행하나요?,"면책 절차는 개인 간에 차이가 있을 수 있으므로, 종합지원센터에서 제공하는 무료 법률 상담을 통해 개인별 맞춤형 안내를 받으실 수 있습니다.",개인회생 및 파산 종합지원센터
개인회생과 파산 절차의 차이점을 알고 싶어요.,"개인회생은 채무를 조정하여 분할 상환하는 반면, 파산은 채무를 탕감받는 절차입니다. 상세한 차이점은 지원센터에서 맞춤 법률 상담을 통해 알아보실 수 있습니다.",개인회생 및 파산 종합지원센터
파산 신청에 실패할 수도 있나요?,"네, 특정 조건을 만족하지 못하면 파산 신청에 실패할 수 있습니다. 정확한 사유와 조건은 종합지원센터에서 무료로 제공하는 법률 상담을 이용해 확인하실 수 있습니다.",개인회생 및 파산 종합지원센터
지원센터의 상담을 받으려면 어떻게 예약해야 하나요?,"지원센터의 상담 예약은 전화나 해당 센터의 웹사이트를 통해 진행할 수 있으며, 상담 시간과 날짜를 선택하여 예약하실 수 있습니다.",개인회생 및 파산 종합지원센터
개인회생 및 파산 종합지원센터에 어떻게 예약할 수 있나요?,"개인회생 및 파산 종합지원센터 예약은 온라인 누리집, 전화(132번), 혹은 직접 공단 사무실을 방문하여 신청하실 수 있습니다.",개인회생 및 파산 종합지원센터
132번 유선전화로 예약하는 방법은 어떻게 되나요?,132번 전화를 걸어 상담원과 통화한 후 필요한 정보를 제공하면 개인회생 및 파산 종합지원센터 예약을 할 수 있습니다.,개인회생 및 파산 종합지원센터
개인회생 및 파산센터 예약을 위해 직접 방문 시 준비해야 할 서류가 있나요?,"방문 예약의 경우, 신분증과 함께 상담에 필요한 개인 신용정보나 부채 관련 서류를 준비해 가시면 더욱 원활한 상담이 가능합니다.",개인회생 및 파산 종합지원센터
개인회생 및 파산에 관한 상담을 받으려면 어디로 연락해야 하나요?,"개인회생 및 파산 상담은 개인회생 및 파산 종합지원센터로 직접 방문하여 신청하거나, 누리집 또는 132번에 전화하여 상담 예약을 하시면 가능합니다.",개인회생 및 파산 종합지원센터
인터넷으로 개인회생 및 파산센터 예약을 하고 싶습니다. 어떻게 해야 하나요?,개인회생 및 파산센터의 인터넷 누리집에 접속하여 예약 절차에 따라 필요 정보를 입력하고 원하는 상담 시간을 선택하여 예약하실 수 있습니다.,개인회생 및 파산 종합지원센터
유선 132번을 이용한 예약 외에 다른 방법으로 개인회생 및 파산센터에 상담을 신청할 수 있나요?,"네, 공단 사무실에 직접 방문하거나 센터의 누리집을 통해 온라인으로 예약 신청하실 수 있습니다.",개인회생 및 파산 종합지원센터
"채무 때문에 너무 힘들어요, 개인회생이나 파산 관련해서 상담 받을 수 있는 곳이 어디에 있을까요?",채무로 인한 힘든 상황에서 상담이 필요하시다면 대한법률구조공단의 개인회생 및 파산 종합지원센터에서 도움을 받을 수 있습니다. 유선전화 132으로 문의하세요.,개인회생 및 파산 종합지원센터
서울에서 채무 문제로 어려움을 겪고 있다면 어디로 연락해야 하나요?,서울 지역에 거주하며 채무 문제로 고민이 있으시다면 개인회생 및 파산 종합지원센터 서울 지부의 전화번호 02-3482-1708로 연락하실 수 있습니다.,개인회생 및 파산 종합지원센터
대전에 살고 있는데 파산 신청 방법을 모르겠어요. 어디에서 도움을 받을 수 있나요?,대전에 거주하시고 파산 신청에 대해 알아보시려면 개인회생 및 파산 종합지원센터 대전 지부 전화번호 042-472-9061로 문의하실 수 있습니다.,개인회생 및 파산 종합지원센터
부산에 사는데 개인회생 절차를 어떻게 시작해야 할지 모르겠어요. 어디서 정보를 얻을 수 있나요?,부산에 계시고 개인회생 절차에 대한 정보가 필요하시면 개인회생 및 파산 종합지원센터 부산 지부에 전화번호 051-505-1648로 문의하시면 안내를 받으실 수 있습니다.,개인회생 및 파산 종합지원센터
"광주에 살고 있는데, 빚을 갚지 못해 법적 조력을 구하고 싶어요. 어디로 연락하면 되나요?","광주에 거주하시며 법적 조력이 필요하신 경우, 개인회생 및 파산 종합지원센터 광주 지부에 전화번호 062-224-7806로 연락하시면 상담을 받으실 수 있습니다.",개인회생 및 파산 종합지원센터
"인천에 살면서 개인파산 신청을 고려 중인데, 어디에 상담을 요청해야 할까요?",인천 지역에서 개인파산 신청에 대해 상담을 원하시면 개인회생 및 파산 종합지원센터 인천 지부 전화번호 032-874-3374로 연락하여 도움을 요청하세요.,개인회생 및 파산 종합지원센터
"3개월 이상 일하고 있는데 병원비가 급하게 필요해졌어요, 어떻게 하면 도움을 받을 수 있을까요?","3개월 이상 근로 중이시라면 근로자 생활안정자금 융자를 신청하여 의료비를 융자 받으실 수 있습니다. 융자를 받으려면 소득 요건 확인과 관련 서류를 준비하셔야 하며, 비정규직 근로자도 소득 요건 적용 없이 신청이 가능합니다.",근로자 생활안정자금 융자
혼자 일하는 자영업자인데 부모님을 모시고 살아서요양비가 부담돼요. 융자 받을 수 있는 방법이 있을까요?,"혼자서 사업을 하시고 산재보험에 가입된 기간이 3개월 이상이시라면, 부모님 요양비를 포함한 다양한 목적의 생활안정자금 융자를 신청하실 수 있습니다. 융자 신청일이 속한 달의 직전 달 말일에 고용된 근로자가 없어야 하니 이 점 유의해주세요.",근로자 생활안정자금 융자
"청년 아르바이트생인데, 학비 마련이 시급해졌어요. 도움을 받을 수 있는 제도가 있나요?","3개월 이상 고용 상태에 있는 경우 학자금 목적으로 근로자 생활안정자금 융자를 신청하실 수 있습니다. 여기에는 일용직 근로자도 포함되므로, 고용보험에 45일 이상 가입되어 있고 신청일 이전 180일 이내에 해당하는 고용 기간이 있다면 융자 신청이 가능합니다.",근로자 생활안정자금 융자
"제가 비정규직으로 일하고 있는데, 생계 유지가 힘들어지고 있어요. 긴급하게 돈을 빌릴 수 있는 복지 제도가 있을까요?",6개월 이상 근로 중인 비정규직 근로자분이시라면 임금감소 생계비를 융자받으실 수 있는 기회가 있습니다. 최근 6개월 동안의 월평균 소득이 융자 신청일 이전 3개월간 30% 이상 감소하였다면 융자 신청 자격이 됩니다.,근로자 생활안정자금 융자
소득이 갑자기 줄었는데 소액 융자도 받을 수 있나요?,"네, 개인 사정이나 계절 사업 등으로 인해 소득이 직전 달 대비 30% 이상 감소했거나 중위소득 2/3의 70% 이하인 경우 소액생계비를 융자 받으실 수 있습니다. 해당 조건에 맞다면 신청을 고려해보시는 것이 좋겠습니다.",근로자 생활안정자금 융자
"올해 내 소득이 많이 줄어들 예정인데, 어떤 융자를 신청할 수 있을까요?","소득이 감소하였을 경우, 임금감소 생계비 융자를 신청하실 수 있습니다. 융자 신청일 이전 3개월간 월평균 소득이 이전 6개월부터 3개월 전까지의 월평균 소득보다 30% 이상 감소하면 자격이 됩니다. 중위소득의 2/3이하인 경우에도 융자가 가능합니다.",근로자 생활안정자금 융자
교통사고로 인한 의료비가 필요한데 생활안정자금 융자를 통해 최대 얼마까지 지원받을 수 있나요?,"교통사고로 인한 의료비의 경우 근로자 생활안정자금 융자를 통해 최대 1,000만 원까지 지원받을 수 있습니다.",근로자 생활안정자금 융자
"부모님 중 한 분을 요양병원에 모시고 싶은데, 부모요양비는 어떻게 지원되나요?","부모요양비는 근로자 생활안정자금 융자를 통해 부모 1인당 연간 최대 500만 원까지, 총액은 1,000만 원 범위 내에서 지원됩니다.",근로자 생활안정자금 융자
제가 올해 혼례를 계획 중인데 혼례비를 얼마나 지원받을 수 있는지 궁금합니다.,"혼례비는 근로자 생활안정자금 융자를 통해 최대 1,250만 원까지 지원받으실 수 있습니다.",근로자 생활안정자금 융자
