Question,Answer,Documents
LPG용기를 쓰는 우리 집을 위한 시설 개선 신청은 어디서 할 수 있을까요?,귀하의 가정을 위한 LPG용기 시설 개선 신청은 가장 가까운 읍면동 주민센터(행정복지센터)나 시군구 가스담당부서를 방문하여 하실 수 있습니다.,LPG용기 사용가구 시설개선
"가사, 간병 방문 지원사업이 1년 후에 종료되면, 다시 신청할 수 있나요?","만약 1년의 서비스 기간이 종료되면 재판정 절차를 거쳐 서비스 연장의 가능성을 타진할 수 있습니다. 단, 장기입원사례관리자의 경우는 서비스 연장이 불가능합니다.","가사, 간병 방문 지원사업"
지역 가족센터에 가면 어떤 도움 받을 수 있나요? 가족희망드림 지원을 받고 싶어서요.,"지역 가족센터에서는 가족희망드림 지원 프로그램 신청 절차와 상담, 다양한 가족지원 서비스 정보 제공을 포함하여 여러 가족복지 서비스에 대한 도움을 받으실 수 있습니다. ",가족희망드림 지원
두 사람으로 구성된 가구가 국민임대주택에 지원하려면 어던 소득 기준을 충족해야 하나요?,두 사람으로 구성된 가구가 국민임대주택을 지원하기 위해서는 도시근로자 월평균소득의 80% 이하를 충족해야 합니다.,국민임대주택 공급
국민행복기금 채무조정은 모든 채무자에게 같은 비율로 원금을 감면해주나요?,"아니요, 국민행복기금 채무조정은 각 채무자의 상황에 따라 다르게 적용되며, 원금 감면 비율은 개인의 조건에 기반하여 20%에서 70% 사이로 결정됩니다.",국민행복기금 채무조정
청년들이 이용할 수 있는 매입임대주택 정보는 어디서 얻을 수 있나요?,"청년 대상의 매입임대주택 지원 정보는 가까운 시군구청에서 상담을 받거나 SH, 경기도시공사, LH마이홈을 통해 문의하실 수 있습니다.","기존주택 일반 저소득층, 신혼부부, 청년 등 매입임대주택 지원"
신혼부부 전세임대 지원을 받으려면 어떤 기준을 충족해야 하나요?,"신혼부부 전세임대 Ⅰ 지원을 희망하실 경우, 무주택 세대구성원으로 결혼한 지 7년 이내의 신혼부부이거나 예비부부이어야 하며, 소득은 도시근로자가구 월평균소득 70% 이하(맞벌이는 90% 이하)를 만족하고, 총자산이 3억 6100만 원 이하, 자동차는 3683만 원 이하의 가액이어야 합니다.","기존주택 일반 저소득층, 신혼부부, 청년 등 전세임대 지원"
기초생활수급자가 아닌 경우에도 통신요금감면 혜택을 받을 수 있나요?,"통신요금감면은 기초생활수급자에 한하여 제공되는 제도이므로, 일반 사용자는 이 혜택을 받을 수 없습니다. 다만, 통신사별로 다른 할인 프로그램이나 요금제를 제공하고 있을 수 있으므로 참고하시기 바랍니다.",기초생활수급자를 위한 요금감면제도
우리 집이 최근 화재로 인해 살 곳을 잃었어요. 긴급하게 지원받을 수 있는 방법이 있을까요?,"네, 화재로 인한 위기 상황에 처한 경우 긴급 주거지원 대상이 될 수 있습니다. 저소득 가구에 한하여 긴급복지지원법에 따라 지원을 받기 위해 먼저 긴급지원대상자로 선정되어야 합니다.",긴급 주거지원
코로나19로 인해 무급휴직을 하게 되었습니다. 이런 상황에서도 긴급복지 지원제도를 신청할 수 있을까요?,"코로나19로 인한 무급휴직으로 생계에 큰 어려움을 겪고 있다면, '긴급복지 지원제도'의 지원 대상이 될 수 있습니다. 해당 기준에 맞는지 상세히 확인해보세요.",긴급복지 지원제도
"""한국주택금융공사와 상담을 원해요. 어떻게 연락할 수 있나요?""",한국주택금융공사와 상담하고자 한다면 1688-8114 번으로 전화하시거나(http://www.hf.go.kr) 웹사이트를 통해 온라인 상담을 요청하실 수 있습니다.,내집 마련 디딤돌대출 (주택구입 시)
"저희 집이 1차 영구 임대주택에 속해 있는데, 집의 노후화로 인해 리모델링이 필요합니다. 신청 절차를 알려주실 수 있나요?",노후화된 1차 영구 임대주택에 대한 리모델링은 주택 단지 내에 위치한 관리사무소에 방문하여 신청하실 수 있습니다. 관리사무소에서 필요한 절차를 안내받을 수 있습니다.,노후 영구 임대주택 리모델링
"교육급여를 지원받고 싶은데, 1인 가구의 선정기준 금액은 얼마인가요?","1인 가구 기준 2023년도 교육급여 선정기준 금액은 1,038,946원입니다.",맞춤형 기초생활보장제도
대전에 사는 3자녀 가족이 버팀목 대출 보증의 혜택을 받으려면 주택의 전세보증금 상한선이 어떻게 되나요?,"지방에 거주하는 2자녀 이상 가구의 경우, 주택의 전세보증금 상한선은 3억 원입니다. 따라서 대전에 사는 3자녀 가족은 전세보증금이 3억 원 이하인 주택에 대해 버팀목 대출 보증을 받을 수 있습니다.",버팀목 대출 보증
"순자산가액이 3억 5000만 원인데, 전세자금 대출 신청이 가능한가요?","예, 순자산가액이 3억 6100만 원 이하이기 때문에 버팀목 전세자금 대출에 신청할 수 있습니다. 단, 연소득도 기준에 부합하는지 확인하셔야 하고, 만 19세 이상의 무주택 세대주여야 합니다.","버팀목 전세자금 대출 (전세, 월세 보증금 대출 시)"
"저는 현재 주택을 한 채 가지고 있는데, 시가 9억 원을 초과합니다. 보금자리론 신청이 가능할까요?","죄송하지만, 주택 가격이 9억 원을 초과하는 경우 보금자리론 신청 대상에서 제외됩니다.",보금자리론
경기도 내에서 분양전환 공공임대주택에 대해 알아보려면 어디에 연락해야 하나요?,경기도 지역 내 분양전환 공공임대주택에 관한 정보가 필요하시다면 경기도시공사에 문의하세요. 경기도시공사의 전화번호는 1588-0466입니다.,분양전환 공공임대주택 공급
생계급여를 받고 있는데 환경성 질환 예방 프로그램 혜택을 받을 수 있나요?,"네, 생계급여 수급자는 환경성 질환 예방 프로그램의 대상에 포함되므로 혜택을 받을 수 있습니다.",사회취약계층 환경성 질환 예방사업
올해 산림복지서비스이용권 발급 받았습니다. 언제가 마지막 사용 기한인가요?,올해(2023년) 발급받으신 산림복지서비스이용권의 마지막 사용 기한은 11월 30일 수요일입니다.,산림복지서비스이용권
만약 한부모 가정에서 상해를 당했을 때 어디로 보험금을 청구해야 하나요?,한부모 가정이 서민금융진흥원 소액보험에 가입되어 있다면 발생한 상해에 대한 보험금을 서민금융진흥원에 청구할 수 있습니다.,서민금융진흥원 소액보험 (한부모가정의료보험)
스포츠강좌이용권 지원 한도가 경제상황에 따라 변동되나요?,"아니요, 스포츠강좌이용권은 현재 1인당 매월 9만 5천 원 이내로 고정된 지원 금액을 제공합니다.",스포츠강좌이용권
스포츠강좌이용권 신청 방법을 모르겠어요. 어떻게 해야 하나요?,"스포츠강쏘이용권 신청 방법은 스포츠강소이용권 누리집에 안내되어 있습니다. 홈페이지 꼼꼼히 살펴보시고, 더 자세한 사항이나 도움이 필요하시면 상담센터로 연락하시면 도와드립니다.",스포츠강쏘이용권
"저희 집 벽이 슬레이트인데, 환경적으로 문제가 있어서 갈아내고 싶어요. 이런 경우 어떤 도움을 받을 수 있나요?","슬레이트 처리 지원 대상 제도가 도움이 될 수 있습니다. 환경적으로 유해할 수 있는 슬레이트 벽체를 제거하거나 교체하기 위한 지원을 받을 수 있는데, 해당 지원을 받기 위한 자격 요건과 절차를 지방자치단체에서 확인하실 수 있습니다.",슬레이트 처리 지원
"신용회복위원회에 연락하려는데, 어떤 방법을 사용하는 게 가장 빠르게 상담받을 수 있나요?",신용회복위원회의 전화번호 1600-5500으로 직접 전화하시는 것이 빠른 상담을 위한 좋은 방법입니다.,신용회복위원회 채무조정
태양광 패널을 아파트 옥상에 설치하려고 합니다. 이 비용을 지원해주는 제도가 있다고 들었는데 정말인가요?,"네, 신재생에너지 설치 지원 제도의 대상자 중 한 사람으로서 공동주택인 아파트 옥상에 태양광 패널 설치에 대한 지원을 받을 수 있습니다. 지원 조건 및 절차에 대한 상세한 정보는 관할 지자체에 문의하시면 도움을 받을 수 있습니다.",신재생에너지 설치 지원
신재생에너지 설치를 위한 정부 지원을 받고 싶어요. 어디로 연락해야 하나요?,"신재생에너지 설치에 대한 정부 지원은 한국에너지공단 신재생에너지센터로 문의하실 수 있습니다. 그들의 전화번호는 1855-3020이며, 웹사이트 주소는 https://knrec.energy.or.kr/home 입니다.",신재생에너지센터
"주거급여 수급자가 쌀 할인판매 제도를 이용할 때, 10kg짜리 쌀 한 포대를 살 때는 몇 원을 내야 하나요?","주거급여 수급자가 쌀 할인판매 제도를 통해 양곡을 구매할 의향이 있다면, 10kg짜리 쌀 한 포대를 구입하기 위해 지불해야 하는 금액은 10,000원입니다.",쌀 할인판매 (양곡할인)
우리 집 백열전구를 LED로 교체하고 싶어요. 정부 지원이 가능한가요?,"네, 에너지 취약계층을 위한 지원 정책에 해당하신다면, 정부에서 백열전구를 LED로 교체하는 데 드는 비용을 지원받으실 수 있습니다. 신청 절차와 자격 요건은 가까운 지자체에서 확인할 수 있습니다.",에너지 취약계층 고효율조명기기 무상교체 지원
겨울철에 난방비를 지원받으려면 언제 에너지바우처를 사용해야 하나요?,겨울철 난방비 지원을 위해서는 10월부터 이듬해 4월까지 에너지바우처를 사용하실 수 있습니다.,에너지바우처
영구임대주택에서 최대 몇 년 동안 거주할 수 있나요?,영구임대주택에서는 최대 50년 동안 거주할 수 있습니다.,영구임대주택 공급
국민연금 지역가입 납부예외자가 보험료를 다시 낼 수 있는 조건은 무엇인가요?,"납부예외자가 국민연금 보험료를 다시 납부하려면, 소득 회복 등의 사유로 지원 대상이 되어야 하며, 이에 따라 저소득 지역가입자로서 보험료 지원을 받을 수 있습니다.",저소득 지역가입자 국민연금보험료 지원
집이 너무 오래되어 에너지 손실이 심한데 정부 지원으로 집을 고칠 수 있을까요?,"저소득층 에너지효율 개선 제도 아래 노후 주택의 에너지 사용 환경을 개선할 수 있도록, 단열공사와 같은 여러 시공지원을 받을 수 있습니다.",저소득층 에너지효율 개선
주택도시보증공사에서 운영하는 전세금 대출에 관해 알고 싶어요. 어떻게 연락할 수 있나요?,주택도시보증공사에서 운영하는 전세금안심대출보증 정보를 얻으려면 1566-9009로 전화하여 문의하실 수 있습니다. 자세한 정보는 공사 홈페이지를 참조하시기 바랍니다.,전세금안심대출보증
지방에서는 전세자금 보증의 임차보증금 상한선이 얼마인가요?,지방에서 전세자금 보증을 신청할 때는 임차보증금이 5억 원 이하여야 합니다.,전세자금 보증 대상
