Question,Answer,Documents
가정 폭력에 시달리는 사람과 함께 사는 가족 구성원도 지원을 받을 수 있나요?,"네, 가정폭력 피해자뿐 아니라 동반가족도 지원 대상에 포함됩니다.",가정폭력 피해자 지원
스토킹을 당하고 있는데 가정폭력 지원 서비스를 이용할 수 있을까요?,스토킹 피해자도 가정폭력 피해자 지원 대상에 해당되므로 지원 서비스를 이용하실 수 있습니다.,가정폭력 피해자 지원
가정 내에서 폭력을 겪고 있는 아이도 별도의 지원을 받을 수 있나요?,"가정 내 폭력으로 고통받는 어린이 포함, 모든 가족 구성원은 지원 대상에 속하므로 적절한 도움을 받으실 수 있습니다.",가정폭력 피해자 지원
가정에서 폭력을 겪은 경우 어떠한 도움을 받을 수 있나요?,"가정폭력 피해자는 상담소를 통해 신고 상담, 임시보호, 그리고 의료 지원을 연계 받을 수 있습니다.",가정폭력 피해자 지원
"가정폭력으로 인해 긴급히 보호가 필요할 때, 어디로 연락해야 하나요?",가정폭력 피해자 보호시설에서는 긴급 보호 필요시 피해자 및 동반자녀를 위한 숙식 제공과 개인별 맞춤 상담이 이루어집니다.,가정폭력 피해자 지원
가정폭력을 겪고 있는 여성과 자녀에게 제공되는 주거지원 형태는 무엇인가요?,피해여성과 동반가족을 위해 임대주택 공급을 통한 안정적인 주거공간을 제공하는 지원이 마련되어 있습니다.,가정폭력 피해자 지원
가정폭력 피해자를 위한 직업훈련은 어떤 곳에서 지원받을 수 있나요?,가정폭력 피해자 보호시설은 피해자가 사회에 복귀할 수 있도록 직업훈련 프로그램을 지원합니다.,가정폭력 피해자 지원
폭력 피해 이후 회복과정에서 제공되는 프로그램에는 어떤 것들이 있나요?,피해 회복을 위해 가정폭력 피해자 보호시설에서는 다양한 회복 프로그램을 제공하여 피해자의 심리적 안정과 자립을 돕습니다.,가정폭력 피해자 지원
가정폭력으로 인한 위기 상황시 먼저 해야 할 행동은 무엇인가요?,위기 상황시 가정폭력 상담소에 신고를 하거나 가정폭력 피해자 보호시설에 연락해 즉각적인 보호와 지원을 받아야 합니다.,가정폭력 피해자 지원
가정폭력 피해를 당한 상황에서 가장 먼저 해야 할 일은 무엇인가요?,가정폭력 피해를 당했다면 가장 먼저 '여성긴급전화'를 통해 긴급상담을 요청해야 합니다.,가정폭력 피해자 지원
가정폭력 피해 후 급하게 찾아야 하는 법률지원이 필요할 때 어디로 연락해야 하나요?,급박한 상황에서 법률 지원이 필요하시면 '무료법률구조기관'을 통해 지원을 신청할 수 있습니다.,가정폭력 피해자 지원
가정폭력 피해자가 의료적 도움을 필요로 할 때 어떤 서비스를 이용할 수 있나요?,가정폭력 피해자는 '의료기관'을 통해 필요한 의료 서비스를 지원받을 수 있습니다.,가정폭력 피해자 지원
가정폭력 발생 시 상담을 받고자 할 때 어디서 도움을 받을 수 있나요?,가정폭력이 발생했을 때는 '가정폭력상담소'에서 전문적인 상담 지원 서비스를 받을 수 있습니다.,가정폭력 피해자 지원
경찰이나 검찰의 수사 지원은 어떻게 진행되나요?,경찰이나 검찰으로부터 수사 지원을 받으려면 관련 기관에 신고 후 수사 절차에 따른 지원을 받으실 수 있습니다.,가정폭력 피해자 지원
가정폭력 피해자가 장기적으로 자립을 준비할 수 있는 지원 서비스는 무엇인가요?,가정폭력 피해자 보호시설을 통해 보호를 받으며 자립을 위한 다양한 지원 서비스를 이용할 수 있습니다.,가정폭력 피해자 지원
가정에서 겪고 있는 폭력 상황에 대해 도움을 받고 싶어요. 어디로 연락해야 하나요?,가정폭력 피해자분은 여성긴급전화(1366) 또는 전국에 있는 가정폭력상담소로 연락하여 지원을 받으실 수 있습니다. 빠른 도움이 필요하시면 1366으로 전화해주세요.,가정폭력 피해자 지원
가정 내에서 위협을 느끼고 있어요. 채팅으로도 도움을 구할 수 있나요?,"네, 채팅을 통해 도움 요청이 가능합니다. 카카오톡에서 '가정폭력상담소'를 검색하시면 익명으로 상담을 받으실 수 있으며, 필요한 지원 정보를 제공 받을 수 있습니다.",가정폭력 피해자 지원
"긴급히 가정폭력 상담을 받고 싶은데, 저녁이나 주말에도 연락할 수 있는 곳이 있나요?","네, 여성긴급전화는 24시간 운영되고 있으므로 언제든지 도움을 요청하실 수 있습니다. 또한 많은 가정폭력상담소에서도 저녁이나 주말에도 상담 서비스를 제공하고 있으니, 가까운 상담소에 연락해보시는 것도 좋은 방법입니다.",가정폭력 피해자 지원
여성긴급전화는 어떤 번호로 연락할 수 있나요?,여성긴급전화는 1366으로 연락하실 수 있습니다.,가정폭력 피해자 지원
인터넷으로 여성폭력 사건에 대해 상담받고 싶어요. 어디로 가면 돼요?,여성폭력 사이버상담을 위한 웹사이트 주소는 http://www.women1366.kr 입니다. 이곳에서 도움을 받으실 수 있어요.,가정폭력 피해자 지원
카카오톡을 통해 여성긴급전화 상담을 받고 싶어요. 어떻게 찾아야 하나요?,카카오톡에서 상담을 받으시려면 ID 'women1366'을 친구로 추가하시면 됩니다.,가정폭력 피해자 지원
여성긴급전화 상담 서비스는 전화 외에 다른 수단으로도 이용할 수 있나요?,"네, 여성긴급전화 상담서비스는 카카오톡 ID 'women1366'을 통해서도 이용하실 수 있으며, 온라인 사이버상담은 http://www.women1366.kr 웹사이트에서 가능합니다.",가정폭력 피해자 지원
