Question,Answer,Documents
"출산으로 장기간 휴가를 가는 직원을 대신할 대체인력을 고용하려는데, 대체인력지원사업을 이용할 수 있나요?","출산과는 관련이 없고, 대체인력지원사업은 산업재해를 당한 근로자의 치료기간 동안 대체인력을 고용할 때 지원받을 수 있는 사업입니다. 해당 지원을 받으려면 산재근로자를 원직장에 복귀시켜 30일 이상 계속 고용해야 합니다. 또한 귀하의 사업장이 상시근로자 50인 미만인 경우에만 가능합니다.",대체인력지원사업 사업주 지원
"45명의 직원을 둔 사업체를 운영 중인데, 산재근로자 대신 신규 인력을 데려왔어요. 이런 경우 사업주 지원을 받을 수 있나요?","예, 상시근로자 50인 미만의 사업장으로서 산재근로자의 공백을 메우기 위해 신규로 대체인력을 고용하고, 산재근로자를 치료 이후 원직장에 복귀시켜 30일 이상 고용 유지시킨다면 대체인력지원사업의 지원을 받으실 수 있습니다.",대체인력지원사업 사업주 지원
"산재를 당한 직원이 아직 복귀하지 않았는데, 대체인력을 고용했습니다. 이 경우 지원신청은 언제 해야 하나요?","대체인력을 고용한 후 산재근로자가 복귀하여 30일 이상 근무할 때까지 지원신청을 할 수 없습니다. 대체인력 고용 기간이 30일 이상이어야 하며, 산재근로자가 복귀한 후에도 30일 이상 유지해야 대체인력지원사업에 대한 지원을 신청할 수 있습니다.",대체인력지원사업 사업주 지원
산업재해에 대비하여 미리 대체인력을 준비하고 싶어요. 이 사업을 통해 미리 지원을 받을 수 있나요?,"아니요, 대체인력지원사업은 산재근로자가 이미 발생하여 그 근로자가 치료를 받는 동안 대체인력을 고용했을 때 해당되는 사업입니다. 예방적 차원에서 미리 대체인력을 고용하거나 대비한 경우에는 지원 대상이 아닙니다.",대체인력지원사업 사업주 지원
지난달에 산재근로자를 대신해 대체인력을 고용했습니다. 이 대체인력을 몇 개월 더 고용해야 하나요?,"대체인력은 최소 30일 이상 고용해야 하며, 산재근로자가 치료를 마치고 복귀하여 그 후에도 30일 이상 고용을 유지해야 합니다. 즉, 산재근로자의 복귀를 포함하여 총 고용 유지 기간이 최소 60일 이상이어야 합니다.",대체인력지원사업 사업주 지원
"사업장에서 산재가 발생했을 때 대체인력을 고용하고 싶은데, 어떤 조건을 충족해야 하나요?","대체인력지원사업을 이용하려면 몇 가지 조건을 만족해야 합니다. 첫째, 귀하의 사업장은 상시근로자가 50명 미만이어야 합니다. 둘째, 산재근로자의 치료 기간 중 신규로 대체인력을 30일 이상 고용해야 합니다. 마지막으로, 산재근로자를 치료 후 원직 복귀시키고, 그 이후 30일 이상 근무를 유지해야 합니다.",대체인력지원사업 사업주 지원
산업재해를 당한 근로자가 회복 중일 때 대체인력을 고용한 경우 지원받을 수 있는 금액의 상한선은 얼마인가요?,월 최대 60만 원까지 지원받을 수 있습니다.,대체인력지원사업 사업주 지원
대체인력 지원금을 받기 위해 최소한도로 고용해야 하는 기간은 얼마인가요?,최소 30일 이상 대체인력을 고용해야 합니다.,대체인력지원사업 사업주 지원
사업주가 산재근로자를 대신하여 채용한 대체인력에 대해 얼마나 오랫동안 임금 지원을 받을 수 있나요?,최대 6개월 동안 임금의 50%를 지원받을 수 있습니다.,대체인력지원사업 사업주 지원
대체인력지원사업의 임금 지원율은 어떻게 되나요?,대체인력 임금의 50%가 지원됩니다.,대체인력지원사업 사업주 지원
산재근로자가 근무를 재개하기 전날까지 받을 수 있는 대체인력 지원금은 기간에 상관없이 일정한가요?,"아니요, 지원금은 산재근로자의 원직 복귀 전날까지 고용된 기간에 따라 변동됩니다.",대체인력지원사업 사업주 지원
"대체인력을 고용할 경우, 사업주는 어떤 조건으로 임금을 지원받게 되나요?","대체인력을 최소 30일에서 최대 6개월간 고용하면, 그 임금의 50%를 지원받게 되는 조건입니다.",대체인력지원사업 사업주 지원
대체인력지원사업에 사업주로 참여하고 싶어요. 어디서 신청할 수 있나요?,대체인력지원사업에 사업주로 참여하시고 싶으시다면 근로복지공단 지사 또는 지역본부를 방문하거나 우편으로 신청하실 수 있습니다.,대체인력지원사업 사업주 지원
우편으로 대체인력지원사업 사업주 지원을 하려면 어떤 서류를 준비해야 하나요?,대체인력지원사업 사업주 지원을 우편으로 하기 위해서는 신청서와 필요한 추가 서류를 준비해야 합니다. 구체적인 서류 목록은 근로복지공단의 공식 안내문을 확인하시거나 지사에 문의해 보시는 것이 좋습니다.,대체인력지원사업 사업주 지원
근로복지공단 지사나 지역본부의 위치는 어떻게 알 수 있나요?,"근로복지공단 지사나 지역본부의 위치는 근로복지공단 공식 홈페이지에서 지사 및 본부 찾기 기능을 사용하여 찾을 수 있습니다. 또한, 고객센터에 전화하여 문의하시는 방법도 있습니다.",대체인력지원사업 사업주 지원
"사업을 운영하다가 직원이 휴가를 가거나 급하게 일을 못 할 때, 대체 인력을 쓰려면 어디서 지원을 받을 수 있나요?","만약 사업장에서 대체 인력이 필요할 경우, 근로복지공단의 대체인력지원사업을 통해 지원을 신청하실 수 있습니다.",대체인력지원사업 사업주 지원
대체인력지원사업 관련하여 자세한 안내를 듣고 싶어요. 어떤 방법으로 연락할 수 있나요?,근로복지공단에 전화로 문의하시면 대체인력지원사업에 대한 상세한 안내를 받으실 수 있습니다. 공단의 연락처는 1588-0075입니다.,대체인력지원사업 사업주 지원
근로복지공단 웹사이트에서 대체인력 지원에 관한 정보를 어떻게 찾나요?,근로복지공단의 공식 웹사이트 주소인 www.comwel.or.kr에 방문하셔서 대체인력지원사업에 관련된 정보를 검색하실 수 있습니다.,대체인력지원사업 사업주 지원
"중소기업을 운영 중인데, 직원이 육아휴직 시 대체인원 채용 비용을 지원받을 수 있는 방법이 있을까요?","네, 근로복지공단에서 제공하는 대체인력지원사업을 통해 육아휴직 등으로 인한 대체인력 채용 비용을 지원받을 수 있습니다.",대체인력지원사업 사업주 지원
대체인력지원사업 신청 절차를 알고 싶어요. 어디로 문의해야 하죠?,신청 절차에 대한 정보는 근로복지공단에 문의하셔서 안내받으실 수 있습니다. 연락처는 1588-0075입니다.,대체인력지원사업 사업주 지원
대체인력지원사업을 위한 서류는 어디에서 확인할 수 있나요?,"필요한 서류는 근로복지공단의 웹사이트에서 확인하실 수 있으며, 추가 질문이 있을 경우 전화로 문의 가능합니다.",대체인력지원사업 사업주 지원
