Question,Answer,Documents
북한에서 온 신입학생도 학교 교육비 지원을 받을 수 있나요?,"네, 북한이탈주민이라면 교육비 지원을 받을 수 있습니다.",북한이탈주민 교육비 지원
"탈북 후 대학교 진학을 희망하는데, 학비에 대한 어떤 지원이 있나요?",북한이탈주민을 대상으로 한 교육비 지원 제도를 통해 대학교 학비를 지원받으실 수 있습니다.,북한이탈주민 교육비 지원
"제가 북한에서 왔는데, 한국에서 고등학교 다닐 때 학비를 도와주는 프로그램이 있을까요?","북한이탈주민을 위한 교육비 지원 프로그램이 있으니, 해당 조건에 부합하면 고등학교 학비 지원을 받으실 수 있습니다.",북한이탈주민 교육비 지원
북한에서 온 학생이 대학에 진학할 때 어떤 혜택을 받을 수 있나요?,북한이탈주민의 경우 대학 진학 시 특례로 입학 지원을 받을 수 있습니다.,북한이탈주민 교육비 지원
대학교에 특별히 지원받을 수 있는 입학 방법이 북한이탈주민에게도 있습니까?,"네, 북한이탈주민을 위한 대학 입학 특례 제도가 마련되어 있어 대학 진학 희망 시 이를 이용할 수 있습니다.",북한이탈주민 교육비 지원
북한을 떠나온 이후 대학교에 갈 때 어떠한 도움을 받을 수 있는지 알려주세요.,북한이탈주민은 대학 진학에 있어서 특례 입학이 가능한 제도를 통해 지원받을 수 있습니다.,북한이탈주민 교육비 지원
중학교와 고등학교 등록금에 관한 지원 혜택은 무엇인가요?,중학교와 고등학교 등록금은 지원 대상자에게 전액 면제 혜택이 제공됩니다.,북한이탈주민 교육비 지원
만 24세 이하 학생이 기숙사를 사용할 때 어떤 지원을 받을 수 있나요?,만 24세 이하 학생이라면 기숙사 사용료 전액 면제 혜택을 받을 수 있습니다.,북한이탈주민 교육비 지원
사립대학 등록금 지원은 어떻게 이루어지나요?,사립대학에 다니는 학생은 등록금의 50%를 지원받는 혜택이 있습니다.,북한이탈주민 교육비 지원
북한에서 온 내 친구가 대학교 교육비를 지원받고 싶어하는데 어떻게 신청할 수 있나요?,친구분이 북한이탈주민이라면 남북하나재단을 통해 교육비 지원 신청이 가능합니다. 남북하나재단의 웹사이트 혹은 전화로 문의하여 필요한 절차와 요건을 확인한 후에 신청할 수 있어요.,북한이탈주민 교육비 지원
난민 신분으로 한국에 정착한 후 학비를 어떻게 해결해야 하는지 모르겠습니다. 어디서 도움을 받을 수 있을까요?,만약 난민 신분으로 한국에 오신 분이 북한에서 오셨다면 남북하나재단에서 교육비 지원 프로그램을 제공합니다. 해당 재단에 연락하여 자격 조건과 신청 방법을 알아보는 것이 좋겠습니다.,북한이탈주민 교육비 지원
북한이탈주민 지원 프로그램 중 대학 장학금이나 교육비 지원에 대해 알고 싶어요. 어디서 정보를 얻을 수 있나요?,북한이탈주민을 위한 대학 장학금이나 교육비 지원에 관한 정보는 남북하나재단에서 제공합니다. 재단에 직접 문의하셔서 지원 가능한 프로그램과 신청 절차를 안내받을 수 있습니다.,북한이탈주민 교육비 지원
"북한에서 온 학생인데, 학교 다닐 때 경제적으로 도움 받을 수 있나요?","네, 북한이탈주민 교육비 지원 제도를 이용할 수 있습니다. 남북하나재단에 문의하여 자세한 정보와 신청 방법을 안내받으실 수 있어요. 연락처는 02-3215-5793입니다.",북한이탈주민 교육비 지원
탈북민으로 대학교에 진학하고 싶은데 어떤 지원을 받을 수 있을까요?,북한이탈주민 여러분의 대학교 진학 시 필요한 교육비를 지원받을 수 있는 제도가 마련되어 있습니다. 상세한 정보는 남북하나재단에 문의하시면 제공해 드립니다. 전화번호는 02-3215-5793입니다.,북한이탈주민 교육비 지원
북한에서 왔어요. 고등교육을 받으려면 어떻게 해야 하죠?,북한에서 오신 분들이 고등교육을 받기 위한 재정적 지원을 받으실 수 있습니다. 남북하나재단에 연락하시면 필요한 지원과 절차에 대해 자세히 안내해 드릴 거예요. 전화번호는 02-3215-5793입니다.,북한이탈주민 교육비 지원
