Question,Answer,Documents
북한에서 온 사람도 남한에서 지원을 받을 수 있는 정책이 있나요?,"네, 북한이탈주민을 위한 정착금 지원 제도가 있습니다. 이는 북한에서 남한으로 온 이탈주민에게 생활 안정과 사회 적응을 돕기 위한 금전적 지원을 제공하는 정책입니다.",북한이탈주민 정착금 지원
탈북 후에 초기에 정부로부터 재정적 지원을 받을 수 있는 방법이 궁금합니다.,"탈북자의 경우, 초기 정착단계에서 북한이탈주민 정착금 지원 제도를 통해 재정적 지원을 받을 수 있습니다. 이 지원금은 기본적인 생활비와 사회 적응을 위한 다양한 프로그램 참여를 돕기 위해 마련되었습니다.",북한이탈주민 정착금 지원
북한에서 이주한 분들이 한국 생활에 안착하기 위한 금융 지원책에는 어떤 것들이 있나요?,"한국 정부는 북한에서 이주한 주민들의 안정적인 생활 정착을 위해 정착금을 지원하는 제도를 운영하고 있습니다. 이는 북한이탈주민의 생계비, 주거비, 교육비 등을 포함한 초기 정착을 위한 종합적인 금융 지원책입니다.",북한이탈주민 정착금 지원
북한에서 온 이주민 한 사람이 정착금으로 최소 얼마를 받을 수 있나요?,"한 사람인 세대 기준으로, 최소 900만 원의 기본 정착금을 받을 수 있습니다.",북한이탈주민 정착금 지원
북한 이탈 주민 중에 고령이나 한부모 가정에 대한 추가 지원금은 최대 얼마인가요?,"고령, 장애, 장기치료, 한부모 가정, 3국출생자녀 양육가정과 같은 취약계층은 최대 1,540만 원의 가산금을 추가로 지원받을 수 있습니다.",북한이탈주민 정착금 지원
북한이탈주민의 기본 정착금 외에 특별한 조건으로 인한 추가 지급금은 무엇인가요?,"북한이탈주민이 3국 출생 자녀를 양육하는 가정이거나, 장애 또는 장기치료가 필요한 취약계층일 경우 최대 1,540만 원의 가산금을 받을 수 있습니다.",북한이탈주민 정착금 지원
단독으로 한국에 온 탈북자가 초기에 지원받는 금액은 어떻게 되나요?,단독으로 온 탈북자는 초기에 900만 원의 기본 정착금을 지원받습니다.,북한이탈주민 정착금 지원
북한이탈주민 중 한부모 가정은 어떤 형태의 지원을 받을 수 있나요?,"한부모 가정인 북한이탈주민은 기본 정착금 이외에 취약계층에 해당하여 최대 1,540만 원까지의 추가 지원(가산금)을 받을 수 있습니다.",북한이탈주민 정착금 지원
탈북자가 기본 정착금 이외에 추가로 받을 수 있는 가산금의 전제 조건은 무엇인가요?,"탈북자가 가산금을 추가로 받기 위한 전제 조건으로는 고령, 장애, 장기치료 필요, 한부모 가정이나 3국에서 출생한 자녀를 양육하는 가정 등 취약계층에 해당되어야 합니다.",북한이탈주민 정착금 지원
고령의 북한이탈주민이 정착금을 받기 위해 어떤 기관에 연락해야 하나요?,고령의 북한이탈주민은 북한이탈주민정착지원사무소를 통해 정착금 지원을 신청할 수 있습니다.,북한이탈주민 정착금 지원
한부모 가정으로 북한에서 온 경우 어디에서 정착금을 신청할 수 있나요?,한부모 가정인 북한이탈주민은 북한이탈주민정착지원사무소를 통해 정착금 지원을 신청할 수 있습니다.,북한이탈주민 정착금 지원
장애가 있는 북한이탈주민 정착금 신청 절차를 알려주세요.,장애를 가진 북한이탈주민은 남북하나재단에서 정착금 지원 신청을 진행할 수 있습니다.,북한이탈주민 정착금 지원
장기치료가 필요한 북한이탈주민은 정착금 지원을 어디에서 받을 수 있나요?,장기치료가 필요한 북한이탈주민은 남북하나재단을 통해 정착금 지원 서비스를 신청할 수 있습니다.,북한이탈주민 정착금 지원
셋째 국가에서 태어난 자녀를 둔 북한이탈주민은 정착금을 어떻게 신청하나요?,제3국에서 태어난 자녀를 가진 북한이탈주민은 남북하나재단에 정착금 지원을 신청할 수 있습니다.,북한이탈주민 정착금 지원
북한이탈주민이 받을 수 있는 정착금 지원은 어떤 상황에 따라 신청 기관이 달라지나요?,"네, 북한이탈주민의 정착금 지원 신청 기관은 개인의 특정 상황에 따라 다릅니다. 예를 들어, 고령이거나 한부모의 경우는 북한이탈주민정착지원사무소에서, 장애, 장기치료 필요성, 제3국에서 태어난 자녀가 있는 경우는 남북하나재단에서 신청 가능합니다.",북한이탈주민 정착금 지원
탈북자들이 초기에 남한에 정착할 때 어떤 경제적 지원을 받을 수 있나요?,"북한이탈주민 정착금 지원은 탈북자들이 남한에 안정적으로 정착할 수 있도록 경제적으로 돕기 위한 제도로, 북한이탈주민정착지원사무소와 남북하나재단을 통해 지원받을 수 있습니다.",북한이탈주민 정착금 지원
"저는 최근에 남한에 도착한 탈북민인데요, 누구에게 정착 도움을 요청해야 하나요?","남한에 정착하는데 필요한 도움을 북한이탈주민정착지원사무소 혹은 남북하나재단에서 제공받을 수 있습니다. 이들 기관은 북한이탈주민에 대한 정착금 지원 등 다양한 서비스를 제공하므로, 관련 정보를 얻고 지원을 받을 수 있습니다.",북한이탈주민 정착금 지원
"남조선으로 온 지 얼마 안 된 탈북자로, 생활 안정을 위한 지원금을 어떻게 신청하나요?",생활 안정을 위한 지원금은 북한이탈주민정착지원사무소나 남북하나재단을 통해 신청할 수 있습니다. 이곳에서는 생활 안정뿐만 아니라 다양한 정착 지원 프로그램들도 제공하고 있으니 방문하시거나 웹사이트를 통해 정보를 얻으세요.,북한이탈주민 정착금 지원
북한에서 온 새터민이 첫 정착할 때 어디에 연락하면 도움을 받을 수 있나요?,북한이탈주민정착지원사무소로 연락하면 초기 정착 과정에서 도움을 받을 수 있습니다. 전화번호는 031-670-9350입니다.,북한이탈주민 정착금 지원
한반도 평화와 새터민 정착을 촉진하는 기관에 문의하려면 어떤 번호로 전화해야 하나요?,남북하나재단에 문의하시면 됩니다. 그들의 전화번호는 02-3215-5796입니다.,북한이탈주민 정착금 지원
북한에서 온 사람들이 한국에서 적응하는 데 필요한 정보와 지원을 얻기 위해 누구에게 연락해야 합니까?,북한이탈주민정착지원사무소에서 이민자들에게 필요한 정보와 자원을 제공합니다. 연락처는 031-670-9350입니다.,북한이탈주민 정착금 지원
