Question,Answer,Documents
산재로 인한 요양이 끝난 후 추가적인 치료가 필요한 경우 어떤 지원을 받을 수 있나요?,"산재 요양이 종료된 후에도 합병증 예방을 위해 추가 진료가 필요하다고 인정되는 경우, 산재근로자 합병증 등 예방관리 지원대상에 포함되어 관련 지원을 받을 수 있습니다.",산재근로자 합병증 등 예방관리
산재 후유증 방지를 위해 정부가 제공하는 프로그램은 무엇인가요?,"합병증 예방을 위하여 진료가 필요한 산재장해인들을 위해 '산재근로자 합병증 등 예방관리' 프로그램이 마련되어 있으며, 이를 통해 필요한 의료 지원을 받을 수 있습니다.",산재근로자 합병증 등 예방관리
산업재해를 입은 노동자가 합병증에 대비한 치료를 계속받을 수 있는 조건은 무엇인가요?,산업재해를 입은 노동자가 요양을 마친 이후에도 합병증 예방을 위한 치료가 필요하다고 판단될 경우 '산재근로자 합병증 등 예방관리' 지원 조건에 부합하게 됩니다. 이에 따라 지속적인 의료 지원받을 수 있는 자격이 부여됩니다.,산재근로자 합병증 등 예방관리
산업재해를 겪은 후 부상 당한 근로자가 받을 수 있는 의료적 서비스에는 무엇이 포함되나요?,"산재근로자는 진찰, 약제 지급, 처치, 검사, 물리치료 및 한방진료를 포함한 예방관리 서비스를 받을 수 있습니다.",산재근로자 합병증 등 예방관리
근로 중 다친 직원이랑 한의원에 가서 치료 받을 때 산재 보험에서 지원해주나요?,"네, 그렇습니다. 근로 중 부상을 당한 직원은 산재 보험의 지원을 받아 한방진료를 비롯하여 필요한 의료적 조치를 받을 수 있습니다.",산재근로자 합병증 등 예방관리
"직장에서 부상을 입었을 때, 산재 보험이 어떤 종류의 치료를 커버해주는지 알고 싶습니다.","산재근로자가 부상을 입었을 때 산재 보험이 커버하는 치료로는 진찰, 약제 제공, 처치와 검사, 물리치료, 그리고 전통적인 한방치료가 포함됩니다.",산재근로자 합병증 등 예방관리
산재를 당한 후 합병증 관리 서비스를 이용하고 싶어요. 어디에 어떻게 신청하나요?,"산재근로자의 합병증 예방 및 관리 서비스 신청은 근로복지공단에 직접 방문하거나 인터넷을 통해 온라인으로, 또는 우편을 이용해 신청할 수 있습니다.",산재근로자 합병증 등 예방관리
혹시 근로복지공단에 가지 않고도 합병증 예방 프로그램에 등록할 방법이 있나요?,"네, 근로복지공단에 방문하지 않고도 인터넷을 통한 온라인 신청 또는 우편 신청을 통해 합병증 예방 프로그램에 등록할 수 있습니다.",산재근로자 합병증 등 예방관리
산업재해를 겪은 후 발생할 수 있는 합병증을 관리하려면 어떤 절차를 거쳐야 하나요?,"산업재해로 인한 합병증 관리를 위해서는 근로복지공단에 직접 방문 신청하거나, 인터넷을 통한 온라인 신청, 혹은 우편으로 신청 절차를 진행할 수 있습니다.",산재근로자 합병증 등 예방관리
산업재해로 병원 치료를 받고 있는데 추가적인 합병증을 방지하고 싶어요. 어디에 문의할 수 있나요?,산재근로자 합병증 예방 및 관리에 대해 알아보려면 근로복지공단에 문의하실 수 있습니다. 해당 공단의 전화번호인 1588-0075로 연락해 주시면 자세한 안내를 받으실 수 있습니다.,산재근로자 합병증 등 예방관리
직장에서 다쳐서 병원에 입원 중인데 합병증에 대한 걱정이 커요. 어디서 관련 정보를 얻을 수 있을까요?,근로복지공단에서 제공하는 서비스를 통해 산재로 인한 합병증 예방에 대한 정보와 관리 방법을 알 수 있습니다. 공단의 고객센터인 1588-0075번으로 연락하시면 도움을 받으실 수 있어요.,산재근로자 합병증 등 예방관리
"업무 중 발생한 부상으로 인해 합병증이 우려되는데, 어떻게 관리해야 할까요?",산업재해 발생 후 합병증 예방에 대해서는 근로복지공단에 상담을 요청하실 수 있습니다. 1588-0075로 전화하시면 필요한 조치와 지원에 대한 정보를 제공받으실 수 있습니다.,산재근로자 합병증 등 예방관리
"회사 일로 인해 상해를 입었는데, 이후 건강문제가 발생하지 않도록 도와줄 기관이 있나요?","네, 근로복지공단에서는 업무상 부상 후 발생할 수 있는 건강 문제의 예방과 관리를 지원합니다. 1588-0075 번호로 전화하여 필요한 조언과 서비스를 이용하실 수 있습니다.",산재근로자 합병증 등 예방관리
산업재해 후 예방할 수 있는 합병증이 있는지 알고 싶습니다. 어디서 정보를 얻을 수 있죠?,"근로복지공단으로 문의하시면 산업재해 후 발생할 수 있는 합병증에 대한 예방 정보를 안내받으실 수 있습니다. 단, 공단 전화번호 1588-0075를 사용해야 합니다.",산재근로자 합병증 등 예방관리
산재를 당했을 때 합병증에 대처하는 방법을 알려주세요. 어디로 연락해야 하나요?,산업재해와 관련하여 합병증에 대처하는 데 도움을 받고자 한다면 근로복지공단에 연락하시면 됩니다. 연락처는 1588-0075입니다. 여기서 필요한 지침과 지원을 받으실 수 있습니다.,산재근로자 합병증 등 예방관리
