Question,Answer,Documents
"어업인 안전보험을 가입하고 싶은데, 정부에서는 어느 정도 지원을 해주나요?",정부에서는 어업인 안전보험의 보험료 중 50%를 지원해줍니다. 기초생활수급자 또는 차상위계층은 70%까지 지원받을 수 있습니다.,어업인 안전보험
"기본적인 대상이 아닌 기초생활수급자가 어업인 안전보험의 보험료 지원을 받고자 할 때, 정부 지원 비율은 얼마나 될까요?",기초생활수급자는 어업인 안전보험의 보험료 중 70%를 정부로부터 지원받을 수 있습니다.,어업인 안전보험
정부가 부담하는 어업인 안전보험 보험료의 비율에는 어떤 차이가 있나요?,"일반 어업인의 경우 보험료의 50%가 지원되고, 기초생활수급자나 차상위계층 어업인은 70%까지 지원받게 됩니다.",어업인 안전보험
어업인 안전보험 가입 절차를 어디에서 알 수 있나요?,어업인 안전보험 가입에 대한 절차는 전국 회원조합 영업점 또는 SH수협은행에서 안내받을 수 있습니다.,어업인 안전보험
가까운 어업인 안전보험 신청 장소를 찾고 싶어요. 어디로 가면 돼요?,근처의 회원조합 영업점이나 SH수협은행을 방문하시면 어업인 안전보험 신청을 하실 수 있습니다.,어업인 안전보험
어업인이 되어 안전보험에 들고 싶습니다. 어떻게 하면 될까요?,"어업인이 안전보험에 가입하고자 한다면, 가까운 회원조합 영업점 또는 SH수협은행에서 신청하실 수 있습니다.",어업인 안전보험
어업인 안전보험이 무엇인지 알고 싶어요. 어디로 문의해야 하나요?,어업인 안전보험에 대한 문의는 전국 회원조합 영업점이나 SH수협은행을 통해서 가능합니다. 해당 기관에 문의하시면 자세한 안내를 받으실 수 있어요.,어업인 안전보험
최근 어선 작업 중 잦은 사고가 걱정되어요. 안전을 위해 가입할 수 있는 보험이 있을까요?,"네, 안전한 어업 활동을 지원하기 위해 '어업인 안전보험'이 마련되어 있습니다. 가까운 전국 회원조합 영업점 또는 SH수협은행에 문의하시면 구체적인 정보를 안내받을 수 있습니다.",어업인 안전보험
해상에서 작업할 때의 위험을 보장해주는 보험에 가입하고 싶습니다. 어디서 상담받을 수 있나요?,바다에서의 작업 중 발생할 수 있는 위험들을 보장하는 '어업인 안전보험'이 있습니다. 문의는 전국의 회원조합 영업점이나 SH수협은행에서 해주시면 됩니다. 해당 기관으로 직접 연락하셔서 자세한 상담을 받으실 수 있습니다.,어업인 안전보험
어선원재해보상보험에 가입한 어부가 추가로 어업인 안전보험을 가입할 수 있는 조건이 있나요?,"네, 어선원재해보상보험에 가입한 어업인이라 하더라도, 산재보험 또는 어선원보험의 적용을 받지 않는 다른 장소에서 어업 작업을 할 경우 어업인 안전보험에 가입할 수 있습니다.",어업인 안전보험
어선원 보험에 가입되어 있는데 같은 조건에서 어업을 하면서 어업인 안전보험도 가입 가능한가요?,"아니요, 어선원 보험에 가입하고 있고 같은 조건의 작업을 하는 경우, 어업인 안전보험에 중복 가입하는 것은 불가능합니다.",어업인 안전보험
"제가 현재 산재보험에 가입되어 있는데, 어업 작업을 위해 추가로 안전보험에 가입하려고 합니다. 가능한가요?","산재보험에 가입하신 상태에서 산재보험 적용을 받지 않는 장소에서의 어업 작업을 위해 어업인 안전보험에 가입하는 것은 가능합니다. 단, 이 경우 보험료 국비 지원은 받으실 수 없습니다.",어업인 안전보험
"현재 어선원 보험에 들어있습니다. 다른 장소에서 추가로 어업 활동을 하려고 하는데, 안전보험에도 들 수 있을까요?","어선원 보험에 가입 중이신 경우라도, 현재 작업 장소가 아닌 별도의 장소에서 어업 활동을 계획하고 계시다면 어업인 안전보험에 가입이 가능합니다. 그러나 보험료 지원은 제외됩니다.",어업인 안전보험
산재보험을 포함해서 현재 가입한 모든 보험과 상관없이 어업인 안전보험에 가입할 수 있는 가능성이 있나요?,"산재보험 및 기타 보험의 가입 여부에 관계없이, 기존 보험의 적용을 받지 않는 새로운 장소에서의 어업 활동이 목적이라면 어업인 안전보험에 가입하는 것이 허용됩니다. 그러나 국가로부터의 보험료 지원은 받지 못합니다.",어업인 안전보험
"어선원재해보상보험에 가입해 있고 현재 다니는 작업장 이외에 다른 곳에서 어업을 계획 중인데, 이 경우 어업인 안전보험에 가입해도 상관없나요?","현재 가입해 있는 어선원재해보상보험과는 독립적으로, 새로운 장소에서의 어업 활동을 위해 어업인 안전보험에 추가로 가입하는 것은 가능합니다. 보험료에 대한 국가 지원은 제공되지 않는다는 점을 유의해야 합니다.",어업인 안전보험
SH수협은행의 고객센터 번호를 알려주세요.,SH수협은행의 고객센터 번호는 1588-4119입니다.,어업인 안전보험
수협은행으로 연락하려면 어떤 번호로 전화해야 하나요?,연락하시려면 1588-4119로 전화하시면 됩니다.,어업인 안전보험
"제가 수협은행 고객서비스에 문의하고 싶은데, 어디로 전화해야 하죠?",수협은행 고객서비스 문의를 위해서는 1588-4119로 전화하시면 도움을 받으실 수 있습니다.,어업인 안전보험
