Question,Answer
다문화가족에게 제공되는 취업 관련 지원이 궁금합니다. 어떤 도움을 받을 수 있나요?,다문화가족들은 다문화가족지원센터를 통해 취업교육 및 관련 기관으로의 연계 지원 서비스를 받을 수 있습니다. 이와 관련한 제도는 다문화가족지원센터 이용입니다. 참고해주세요.
다누리콜센터는 어떤 정보를 제공하나요?,"다누리콜센터를 통해 다문화가족지원센터 관련 상담, 프로그램 정보, 이용 방법 등에 대한 문의를 할 수 있습니다. 이와 관련한 제도는 다문화가족지원센터 이용입니다. 참고해주세요."
이중언어를 가진 가족을 위한 환경을 조성하려면 어떻게 해야 하나요?,다문화가족지원센터에서는 이중언어 가족환경조성 프로그램을 통해 여러 가족에게 필요한 지원을 제공합니다. 이와 관련한 제도는 다문화가족지원센터 이용입니다. 참고해주세요.
"가족 상담을 받고 싶은데, 다문화가정은 어느 곳에 신청하면 되나요?","다문화가정을 위한 가족 상담 서비스는 다문화가족지원센터에서 제공하며, 센터에 직접 신청하여 이용할 수 있습니다. 이와 관련한 제도는 다문화가족지원센터 이용입니다. 참고해주세요."
"저는 다문화가족인데, 자조모임에 참여하고 싶어요. 어떻게 해야 하나요?",다문화가족지원센터를 통해 자조모임 참여에 관한 정보와 지원을 받을 수 있습니다. 이와 관련한 제도는 다문화가족지원센터 이용입니다. 참고해주세요.
다문화가족지원센터 신청 절차는 어떻게 되나요?,"다문화가족지원센터 이용을 원하신다면, 인근 센터를 다누리포털을 통해 확인하신 후 해당 센터에 신청하시면 됩니다. 이와 관련한 제도는 다문화가족지원센터 이용입니다. 참고해주세요."
"다누리 앱은 어떤 기능이 있고, 어디서 다운받을 수 있나요?","다누리 앱을 통해 다문화가족지원센터 이용 관련 정보, 신청 등을 손쉽게 할 수 있으며, 앱스토어 또는 플레이스토어에서 다운로드 받을 수 있습니다. 이와 관련한 제도는 다문화가족지원센터 이용입니다. 참고해주세요."
다문화가족지원센터에서 제공하는 프로그램에는 어떤 것들이 있나요?,"다문화가족지원센터에서는 가족상담, 취업교육, 이중언어 가족환경조성 프로그램, 자조모임 등 다양한 지원 프로그램을 제공합니다. 이와 관련한 제도는 다문화가족지원센터 이용입니다. 참고해주세요."
"외국인 배우자가 있는 경우, 한국에서의 생활 방법에 대한 도움을 어떻게 받을 수 있나요?","외국인 배우자를 둔 가족은 다문화가족지원센터를 통해 생활 상담, 교육 프로그램 및 맞춤형 지원을 받을 수 있습니다. 이와 관련한 제도는 다문화가족지원센터 이용입니다. 참고해주세요."
다문화가족지원센터 위치를 어떻게 알 수 있나요?,가까운 다문화가족지원센터의 위치는 다누리포털 웹사이트나 다누리 앱을 통해 확인할 수 있습니다. 이와 관련한 제도는 다문화가족지원센터 이용입니다. 참고해주세요.
"저는 다문화 가정의 학생인데, 한국어 학습을 도와줄 수 있는 프로그램이 있나요?","네, 다문화·탈북학생 멘토링 지원 프로그램을 통해 한국어와 기초학습 지도를 받을 수 있습니다. 이와 관련한 제도는 다문화·탈북학생 멘토링 지원입니다. 참고해주세요."
"탈북한 후 고등학교에 재학 중인데, 학교생활이나 진로에 대해 상담받을 수 있는 곳이 어디 있나요?","국공립 유치원이나 다문화 자녀가 재학 중인 학교, 지역다문화교육지원센터 등에서 멘토링을 통한 상담을 제공합니다. 이와 관련한 제도는 다문화·탈북학생 멘토링 지원입니다. 참고해주세요."
"방학 기간에도 다문화, 탈북 학생을 위한 멘토링 서비스가 제공되나요?","네, 방학 중에는 주당 최대 40시간까지 멘토링 서비스를 받을 수 있습니다. 이와 관련한 제도는 다문화·탈북학생 멘토링 지원입니다. 참고해주세요."
"멘토링 서비스를 받고 싶은데, 어떤 절차를 거쳐야 신청할 수 있나요?","국공립 유치원, 다문화 자녀가 재학 중인 학교, 지역아동센터 등등에 등록하여 멘토링을 신청할 수 있습니다. 이와 관련한 제도는 다문화·탈북학생 멘토링 지원입니다. 참고해주세요."
멘토링 지원을 받기 위해 방문해야 하는 기관에 대해서 자세히 알려주실 수 있나요?,"지역다문화교육지원센터나 학교 밖 청소년지원센터, VMS·1365 등록시설 등 다양한 기관에서 지원받을 수 있습니다. 이와 관련한 제도는 다문화·탈북학생 멘토링 지원입니다. 참고해주세요."
대학생 멘토의 활동 시간에는 어떤 제한이 있나요?,"학기당 520시간, 1일 8시간, 주 20시간을 넘지 않도록 규정되어 있으며, 방학 중에는 40시간까지 활동 가능합니다. 이와 관련한 제도는 다문화·탈북학생 멘토링 지원입니다. 참고해주세요."
다문화·탈북학생 멘토링 지원에 대한 문의를 하고 싶은데 어디로 연락해야 하나요?,"한국장학재단으로 문의하시면 됩니다(☎1599-2290, www.kosaf.go.kr). 이와 관련한 제도는 다문화·탈북학생 멘토링 지원입니다. 참고해주세요."
"다문화 학생을 위한 멘토링 서비스에 관심이 있는데, 참여하기 위해 필요한 조건이 있나요?",다문화·탈북 학생이라면 국공립 유치원 및 초·중·고 재학생이면 신청 가능합니다. 이와 관련한 제도는 다문화·탈북학생 멘토링 지원입니다. 참고해주세요.
멘토링 서비스를 통해 한국문화 체험도 가능한가요?,"네, 한국문화 체험 활동도 멘토링 프로그램의 일환으로 지원됩니다. 이와 관련한 제도는 다문화·탈북학생 멘토링 지원입니다. 참고해주세요."
"제 자녀가 다문화 가정인데, 멘토링 서비스 신청 시 저희 가정에서 비용을 부담해야 하나요?",대학생 멘토의 급여는 국가 근로장학금으로 지급되므로 가정에서 부담할 비용은 없습니다. 이와 관련한 제도는 다문화·탈북학생 멘토링 지원입니다. 참고해주세요.
농촌 공동 아이돌봄센터 지원 대상에 해당되는 어린이집의 규모는 어떻게 되나요?,농촌지역(읍면)의 소규모(영유아 3~20인) 국공립 어린이집 및 사회복지법인 어린이집이 지원 대상입니다. 이와 관련한 제도는 농촌 공동 아이돌봄센터입니다. 참고해주세요.
